
[00:00:00.080 --> 00:00:06.080]   Hello, and welcome to 21 and 21. I'm Haley Bercow, and today I'm speaking with Jamison Lopp.
[00:07:05.340 --> 00:07:13.560]   But I think there is a lot of hype right now that somehow like AI plus blockchain equals astounding new innovations.
[00:07:13.560 --> 00:07:18.060]   I haven't really seen anything along that line that has blown my mind.
[00:07:18.060 --> 00:07:24.540]   But I do think that AI will improve productivity really across the board with pretty much every industry.
[00:07:24.540 --> 00:07:27.640]   AI is definitely big.
[00:07:27.640 --> 00:07:32.420]   In San Francisco right now, we had a pretty cool hackathon where we did kind of Bitcoin AI themed.
[00:07:32.640 --> 00:07:37.880]   There was some cool projects being built, especially with vibe coding coming out and making it much easier to prototype.
[00:07:37.880 --> 00:07:41.600]   Well, as a security professional, vibe coding is very scary to me.
[00:07:41.600 --> 00:07:42.700]   Yes.
[00:07:42.700 --> 00:07:46.160]   You can do it in like fun ways, but I would say yes.
[00:07:46.160 --> 00:07:48.220]   It's still like prototype level probably.
[00:07:48.220 --> 00:07:52.200]   So you write a lot.
[00:07:52.200 --> 00:07:55.640]   I need to know, do you have a secret with writer's block?
[00:07:55.640 --> 00:07:57.320]   Do you ever face it?
[00:07:57.320 --> 00:07:58.520]   What are your tips and tricks?
[00:07:59.240 --> 00:08:02.740]   Yeah, well, I don't use AI to write.
[00:08:02.740 --> 00:08:05.740]   I'd probably be a lot faster and more productive.
[00:08:05.740 --> 00:08:10.920]   For me, though, it's just I pick away at things.
[00:08:10.920 --> 00:08:20.820]   So while some people may think that I write a lot, I generally only publish one long form post per month.
[00:08:21.520 --> 00:08:31.100]   But the way that I do that is that at any given time, I probably have several dozen drafts and I don't just sit down and write one long term thing.
[00:08:31.100 --> 00:08:37.580]   Many of these have been in draft mode for half a year or even several years.
[00:08:37.860 --> 00:08:46.880]   And it's really just whenever something strikes my mind or piques my interest, then I make sure I go write it down.
[00:08:46.880 --> 00:08:47.820]   I actually find like.
[00:08:48.780 --> 00:09:00.220]   As a sort of life pro tip, like whenever you have an interesting idea, especially for me, a lot of my interesting ideas happen like right as I'm about to go to sleep.
[00:09:00.220 --> 00:09:09.660]   But one of the most important things that you can do is write down that idea as soon as you think about it, because otherwise your mind is eventually going to drift on to other things.
[00:09:09.780 --> 00:09:13.100]   You may forget about it. You may come back around to it in days, weeks, months or whatever.
[00:09:13.100 --> 00:09:24.520]   But, you know, having a list of these ideas and for me, a lot of that is just my drafts, my long, long form blog post drafts that I can keep coming back to keep iterating upon.
[00:09:24.520 --> 00:09:31.780]   And then eventually if I get some idea fleshed out to the point where I think it's like ready for public presentation, then I just put it out there.
[00:09:31.780 --> 00:09:35.840]   Definitely takes discipline to even post one post a month.
[00:09:35.900 --> 00:09:49.200]   So I respect that. In terms of new ideas that you say that you kind of like piqued your interest, have there been any books or articles that you have read recently that have maybe blew your mind that you want to share?
[00:09:49.200 --> 00:09:58.080]   Well, if we're talking about the AI stuff, there was this website post that came out recently.
[00:09:58.080 --> 00:10:01.620]   I think it was called like 2027 or something. It was just like a year.
[00:10:01.780 --> 00:10:09.980]   And it basically detailed how we could get into sort of runaway AI acceleration.
[00:10:09.980 --> 00:10:13.620]   And this made me think more about how.
[00:10:13.620 --> 00:10:22.940]   While as a paranoid security guy, I do think about a lot of edge cases, I'm like a prepper in many different ways.
[00:10:23.940 --> 00:10:32.620]   I'm not so much worried about Terminator, Skynet level, AGI destroying all of humanity.
[00:10:32.620 --> 00:10:50.400]   While that's always a possibility, what I'm actually more worried about at a very, very high level is the fact that, you know, humans are fairly adaptable creatures, but we can only adapt so quickly to things.
[00:10:50.400 --> 00:11:03.180]   And I think there's a lot of arguments you can make where technology is accelerating a pace that has actually become very difficult for us to adapt to various societal changes that happen as a result of the impact of technology.
[00:11:03.180 --> 00:11:15.820]   And so what I really worry about is that, you know, AI and then AI essentially training itself and becoming faster and faster and more effective at accelerating whatever it can do.
[00:11:15.920 --> 00:11:37.880]   That that will just have trickle down effects to all of the rest of technology, innovation, society, and that we eventually we just might get to the point where we create some tool or some set of things that are so powerful that we are not able to create the defensive countermeasures to them fast enough.
[00:11:37.880 --> 00:11:46.240]   And that that can ultimately be massively destructive to humanity, definitely a wild world we're living and things are evolving quickly.
[00:11:46.240 --> 00:11:53.560]   Speaking of the future, what does a world on the Bitcoin standard look like to you?
[00:11:53.560 --> 00:12:10.600]   Well, I would hope that it would be one where most people have sovereign Bitcoin in the sense that, you know, they're not simply trusting third parties.
[00:12:10.600 --> 00:12:19.460]   And that is one of the many long term things that I'm very worried about because of the trends, the directions that we're going in right now are the opposite of that.
[00:12:19.460 --> 00:12:37.180]   You know, this is as many are saying, it's a paper Bitcoin summer that's happening right now where we're essentially getting trad fi into Bitcoin and recreating much of the centralized traditional banking system, which is very convenient for people.
[00:12:37.180 --> 00:12:55.460]   But, you know, the the future where people are actually using Bitcoin on a daily basis for commerce and whatever that is going to require us to get to the unit of account level.
[00:12:55.460 --> 00:12:58.780]   We're still a very, very, very, very long way away from that.
[00:12:58.780 --> 00:13:07.420]   And unfortunately, I think that there's going to have to be a lot more turmoil in the fiat currency world for that to happen.
[00:13:07.420 --> 00:13:21.700]   But I think the goal would be that it's not that Bitcoin has to be like the only currency in existence, but rather it just needs to be recognized and used at the same scale as other major international currencies.
[00:13:23.700 --> 00:13:29.080]   Speaking of unit of account, there is a lot of talk of sats versus Bitcoin.
[00:13:29.080 --> 00:13:34.360]   Do you have any thoughts if we should reframe the way we talk about the fractions of Bitcoin?
[00:13:34.360 --> 00:13:37.640]   I'm of two minds.
[00:13:37.640 --> 00:13:49.600]   Unit bias is a real psychological issue, and there certainly are plenty of people who end up buying other alt coins because they're cheaper and they think they might go up more.
[00:13:50.700 --> 00:14:03.740]   But I've also said for a long time that if you don't understand that you can buy a fraction of a Bitcoin, you shouldn't be buying any Bitcoin in the first place because you're not ready for the responsibility that comes with being a Bitcoin owner.
[00:14:04.460 --> 00:14:15.660]   So I think part of it is, you know, do we want to onboard people faster or do we want to be patient and allow them to educate themselves more?
[00:14:17.100 --> 00:14:29.200]   To get to that future world where Bitcoin is used for commerce on a daily basis, then I think obviously sats will be the standard because nobody's going to be spending entire Bitcoins unless they're buying a house or something.
[00:14:29.200 --> 00:14:39.040]   Are you worried if sats is a standard and people are using it as, you know, daily currency that we won't even hear the word Bitcoin much anymore?
[00:14:39.040 --> 00:14:45.880]   If everything is denominated in sats, I doubt it.
[00:14:45.880 --> 00:14:50.980]   I mean, we've got Bitcoin branding on every app and every wallet and software and hardware and stuff out there.
[00:14:51.980 --> 00:14:59.760]   And, you know, one of the interesting things coming to San Francisco is just seeing the word Bitcoin a lot more often as you're going around than you do really anywhere else in the country.
[00:14:59.760 --> 00:15:02.060]   Yes, we're seeing the word more.
[00:15:02.060 --> 00:15:09.340]   Yeah, something on the spiral team that we think a lot about is how we can promote Bitcoin as money kind of beyond just digital gold.
[00:15:09.340 --> 00:15:14.500]   How do you think that we can get people to use Bitcoin as money more?
[00:15:14.500 --> 00:15:22.820]   This is another thing where I think we should avoid trying to try too hard.
[00:15:22.820 --> 00:15:25.480]   I think the incentives are already there.
[00:15:25.480 --> 00:15:36.720]   I hearken back to my early days when I was trying to convince my peers and colleagues that, you know, you should get some of this Bitcoin thing because like inflation is a for sure thing.
[00:15:36.760 --> 00:15:45.320]   It's going to happen. And they scoffed at me, you know, and this is, you know, in the early 2010s, like inflation is not a big deal.
[00:15:45.320 --> 00:15:54.380]   Well, of course, here over the past couple of years, people in the United States, people are finally recognizing, you know, actually inflation is a real threat.
[00:15:54.380 --> 00:16:03.580]   So from that perspective, I think patience is all you really need because all the central banks have pretty much doomed themselves.
[00:16:03.580 --> 00:16:06.220]   Like this is their policy is to inflate the currency.
[00:16:06.220 --> 00:16:10.420]   So all you have to do is wait long enough for people to recognize it.
[00:16:10.420 --> 00:16:23.080]   And I think also that over a long enough period of time, folks are going to look around and they're going to see, wait, these people who adopted Bitcoin seem to be doing a lot better than those of us who didn't.
[00:16:23.080 --> 00:16:24.780]   Maybe they were on to something.
[00:16:26.860 --> 00:16:35.400]   I agree. Well, hopefully people start using Bitcoin more as money and the UX and applications definitely have to get better to encourage more of that.
[00:16:37.920 --> 00:16:41.240]   Do you have any spicy Bitcoin takes?
[00:16:41.240 --> 00:16:42.580]   Oh, yes.
[00:16:42.580 --> 00:16:49.980]   Well, you know, I published my first Bitcoin improvement proposal this week, which is controversial unto itself.
[00:16:50.480 --> 00:17:19.560]   Basically, the idea being that due to the issues around incentives and the game theory of a post-quantum world that we should actually seek to incentivize people to migrate their coins into quantum secure setups by telling them like a concrete deadline of like, if you don't do it by then, you won't be able to spend your coins, at least by the regular path.
[00:17:19.560 --> 00:17:26.180]   Hopefully at this summit or over the coming months and years, we will come up with alternate quantum safe recovery schemes.
[00:17:26.180 --> 00:17:34.940]   But my spicy take there being that we should actually just completely cut off the ability for quantum vulnerable spending of Bitcoin to happen.
[00:17:34.940 --> 00:17:39.820]   And I did have another controversial proposal.
[00:17:39.820 --> 00:17:49.540]   I haven't written it up as a formal Bitcoin improvement proposal, but something that I've been toying with for the past year or so, which is essentially a dynamic block size.
[00:17:49.980 --> 00:17:52.620]   And this, once again, is a very long term thing.
[00:17:52.900 --> 00:18:05.620]   I think that we should take advantage of the deflationary aspects of hardware and computing to be able to offer more block space to the world over the long term.
[00:18:06.320 --> 00:18:10.540]   Now, obviously, anyone who knows about the scaling debates knows this is a very controversial thing.
[00:18:10.540 --> 00:18:19.740]   And I have a number of arguments that every argument about block size has always been flawed and that we need to approach it from more of an economic perspective.
[00:18:19.740 --> 00:18:30.020]   And so I did have this rough concept I sketched out a few months ago of Goldie blocks, which is essentially a dynamic block size that it doesn't only go up in size.
[00:18:30.020 --> 00:18:31.820]   It also decreases the block size.
[00:18:31.980 --> 00:18:39.820]   And it does so by looking at the economic conditions and the demand of block space, essentially recognizing that this is a market.
[00:18:39.820 --> 00:18:45.940]   And right now the market is constrained with a very set flat supply.
[00:18:45.940 --> 00:18:47.820]   But the demand goes up and down.
[00:18:47.820 --> 00:19:00.280]   So much like how the difficulty adjustment for Bitcoin goes up and down to match the demand and supply for hash rate, I think we should do something similar with the actual amount of block space that's available.
[00:19:00.640 --> 00:19:01.740]   I'll keep an eye out.
[00:19:01.740 --> 00:19:04.180]   I didn't realize that was your first Bitcoin improvement protocol.
[00:19:04.180 --> 00:19:07.220]   Yeah, it's it's not written up as a BIP yet.
[00:19:07.220 --> 00:19:09.280]   I'm still tinkering with it.
[00:19:09.280 --> 00:19:14.260]   A few more questions on an optimistic note.
[00:19:14.260 --> 00:19:18.580]   What gives you the most hope for Bitcoin's future that's happening today?
[00:19:18.580 --> 00:19:25.240]   Well, what gives me the most hope is the fact that governments and central banks continue shooting themselves in the foot.
[00:19:25.360 --> 00:19:46.380]   Like I said, from a long term perspective, my long term pessimism and negativity about those institutions is what gives me hope that people will see that money is a concept that should not be owned or controlled by any person or group of people.
[00:19:46.380 --> 00:20:04.480]   And that I think money as an open source project is the fairest, most appropriate way to go about creating this really shared agreement amongst humanity of how to decide who has what value.
[00:20:04.480 --> 00:20:14.280]   What advice would you give to people that are either new to the Bitcoin space or thinking about jumping in?
[00:20:16.380 --> 00:20:22.560]   Well, I always say invest in education before you invest too much financially.
[00:20:22.560 --> 00:20:32.840]   These things kind of go, I think, in and lockstep with each other is personally, when I first got into it, I was learning a little.
[00:20:32.840 --> 00:20:39.060]   I was buying a little and I would learn more and then be like, oh, I need to have more and bought more and learn even more.
[00:20:40.100 --> 00:20:45.900]   So one thing I say very often, whenever someone asks, should I buy Bitcoin?
[00:20:45.900 --> 00:20:53.560]   I say, if you have to ask that question, the answer is no, because you're simply not far enough down the rabbit hole.
[00:20:53.560 --> 00:20:58.420]   So a similar thing with if you want to get in and contribute to the ecosystem.
[00:20:59.240 --> 00:21:02.820]   I have a ton of resources out there and they're spread out all over the Internet.
[00:21:02.820 --> 00:21:13.800]   But if you go to Bitcoin dot page, which goes to my LOP dot net site, just check out the developer and technical resources there.
[00:21:13.800 --> 00:21:28.560]   And there's a ton of reading material, tons of online classes and even a number of offline meat space classes that you can go to learn all about the industry and hopefully get yourself a gig.
[00:21:29.240 --> 00:21:33.520]   Your resources were very helpful to me when I was first learning about Bitcoin.
[00:21:33.520 --> 00:21:35.780]   So I appreciate all the time that you've put into that.
[00:21:35.780 --> 00:21:37.540]   Last question.
[00:21:37.540 --> 00:21:41.120]   If you could leave our listeners with a single thought about Bitcoin, what would it be?
[00:21:46.700 --> 00:21:54.480]   The most important thing that you can do to contribute to Bitcoin is continue discussing it with other Bitcoiners.
[00:21:54.480 --> 00:21:57.020]   That's how we make forward progress.
[00:21:57.020 --> 00:22:08.880]   And the most dangerous thing to Bitcoin over the long term is apathy and people not talking to each other and discussing how we can continue to improve.
[00:22:09.720 --> 00:22:10.700]   I love that.
[00:22:10.700 --> 00:22:14.400]   And that's exactly what we're about to do in like 15 minutes.
[00:22:14.400 --> 00:22:22.080]   Well, if our listeners don't know where they can find you, where should they go to learn more about you, follow along with what you're doing?
[00:22:22.080 --> 00:22:31.900]   Everything about me, every resource that I have ever created, all of my contact information and stuff is on LOP dot net.
[00:22:31.900 --> 00:22:32.740]   Perfect.
[00:22:32.740 --> 00:22:33.260]   Easy.
[00:22:33.260 --> 00:22:36.340]   Well, thank you so much for hopping on the show.
[00:22:36.340 --> 00:22:41.600]   I hope you enjoy the rest of your time at Presidio Bitcoin and have fruitful conversations at the Quantum Bitcoin Summit.
[00:22:41.600 --> 00:22:42.640]   Thanks for having me.
[00:22:42.640 --> 00:22:43.000]   Of course.
[00:22:43.000 --> 00:22:43.380]   Thank you.
